PubId,visit_date,Unique_Visitors,Visits,New_Visits,Avg_Duration,Pages_Visits,Bounce_Rate,Seller_Clicks,Searches
509,20131222,"1,276","1,335",536,0:02:32,1.61,40.52%,167,39
29,20131207,"1,274","1,399",247,0:08:31,4.08,32.38%,483,184
509,20140101,"1,274","1,320",559,0:02:31,1.87,37.88%,184,59
509,20140102,"1,271","1,301",549,0:02:54,1.85,33.13%,189,54
354282,20131207,"1,269","1,330",465,0:04:16,3.2,18.27%,625,105
29,20131211,"1,262","1,394",289,0:11:03,4,30.42%,512,174
30,20131224,"1,262","1,482",54,0:04:33,2.14,60.53%,284,96
356889,20140102,"1,259","1,338",950,0:02:29,2.11,41.03%,492,64
356894,20131208,"1,259","1,281","1,012",0:02:12,2.05,41.53%,443,73
509,20131219,"1,257","1,325",546,0:05:12,1.82,37.74%,147,39
29,20131209,"1,252","1,372",274,0:09:00,3.79,33.02%,465,176
356894,20131215,"1,249","1,293","1,004",0:03:06,2.14,43.93%,475,86
509,20140105,"1,249","1,338",536,0:02:44,1.73,36.40%,162,37
356894,20131203,"1,244","1,271",980,0:02:04,2.14,46.03%,419,54
509,20131223,"1,240","1,281",527,0:04:14,1.53,36.14%,137,29
354282,20131206,"1,237","1,296",556,0:09:28,3.43,22.30%,652,81
29,20131204,"1,235","1,431",245,0:11:05,3.57,34.38%,438,240
356894,20131207,"1,222","1,257","1,012",0:03:35,2.28,40.57%,470,91
509,20140106,"1,220","1,284",507,0:02:33,1.52,40.42%,108,17
29,20131203,"1,217","1,352",235,0:13:18,4.57,31.36%,490,164
509,20131228,"1,217","1,284",551,0:04:05,2.05,39.33%,149,56
356894,20131216,"1,213","1,232",982,0:02:05,2.02,38.56%,483,64
509,20131229,"1,213","1,269",510,0:02:30,1.78,37.67%,152,32
356889,20131222,"1,208","1,274",965,0:02:18,2.3,42.07%,414,86
29,20131215,"1,198","1,315",206,0:11:00,4.55,29.28%,473,194
29,20131216,"1,191","1,340",247,0:10:28,3.91,28.36%,480,201
356894,20131210,"1,191","1,227",960,0:02:36,1.93,45.31%,404,71
356894,20131214,"1,191","1,222",931,0:02:32,1.82,43.29%,441,69
509,20140103,"1,188","1,242",497,0:03:19,1.83,34.94%,167,51
358114,20131217,"1,186","1,195","1,088",0:00:51,1.59,74.81%,5,0
509,20131218,"1,186","1,276",502,0:03:06,1.71,37.07%,201,44
356894,20131204,"1,183","1,210",914,0:02:24,2.21,43.31%,412,59
356889,20131218,"1,178","1,225",892,0:01:56,1.96,52.82%,321,88
354282,20131213,"1,176","1,269",495,0:04:03,3.13,20.65%,610,93
354282,20131204,"1,173","1,240",483,0:04:18,3.07,22.10%,534,76
29,20131213,"1,171","1,318",252,0:12:40,3.8,31.56%,434,154
29,20131218,"1,171","1,323",220,0:16:53,3.43,27.97%,483,196
356887,20131202,"1,171","1,193",901,0:01:54,1.88,46.02%,326,76
354282,20140110,"1,166","1,230",492,0:04:17,3.39,23.74%,605,76
356887,20131201,"1,159","1,213",975,0:01:56,1.9,47.90%,321,83
354282,20140105,"1,156","1,208",345,0:04:27,3.4,21.27%,539,103
356905,20131202,"1,154","1,181",997,0:03:22,1.9,52.67%,304,59
354282,20131215,"1,149","1,225",382,0:04:55,3.56,20.41%,590,69
356889,20140105,"1,146","1,191",904,0:01:47,2.26,43.41%,372,73
354282,20131219,"1,144","1,210",495,0:03:36,3.05,24.46%,522,115
356894,20131212,"1,139","1,159",921,0:02:17,1.94,35.29%,480,66
354282,20131208,"1,137","1,215",402,0:04:34,3.29,19.18%,608,71
356894,20131205,"1,129","1,161",914,0:02:31,2.13,46.17%,377,66
356889,20140104,"1,115","1,161",892,0:02:38,2.3,42.64%,404,88
356894,20131211,"1,110","1,127",924,0:02:36,2.16,36.91%,446,49
354282,20140112,"1,107","1,183",377,0:05:28,3.22,20.29%,583,98
29,20131206,"1,105","1,242",211,0:08:44,4.07,33.90%,382,142
29,20131214,"1,102","1,242",289,0:12:26,4.21,27.62%,451,157
356894,20131206,"1,100","1,127",867,0:02:18,2.03,40.64%,436,61
509,20131227,"1,100","1,166",448,0:02:26,1.92,35.51%,130,47
29,20131217,"1,097","1,271",228,0:12:12,3.48,30.29%,470,159
509,20140110,"1,095","1,127",453,0:01:55,1.69,36.56%,108,59
356889,20131229,"1,093","1,137",835,0:02:01,2.12,43.27%,380,64
354282,20140103,"1,073","1,122",414,0:04:55,3.36,19.43%,495,120
356890,20131201,"1,070","1,112",867,0:03:12,2.29,42.72%,385,64
356889,20131217,"1,068","1,107",860,0:02:10,2.08,46.43%,326,83
356889,20131228,"1,056","1,085",806,0:01:40,2.08,49.03%,294,49
