PubId,PubName,PubGroupId,PubGroupName
1762,aj pi flower,11,AJPI
1788,gotoisport,2,Yahoo US
210,thoughtconXML,363,others
1887,intellicast mort ad,464,Intellicast Group Banners
1948,nytimes mort ad,475,New York Times Banners
1986,maxentertainment,363,others
1999,mortopstest,363,others
2013,av bmv,3,Altavista
2021,fastmusic,4,Fast
2062,email_cross-sell,130,Email
2069,ask mort ad,81,AskJeeves Banners
2006,ggsi lifeins,6,Google US
2085,valueclick cpm mort ad,516,Valueclick Banners
2089,lyc collect,9,247 Real Media Banners
2115,ls used cars,8,Looksmart
2175,msnbc mort ad,335,MSN Banners
2183,cnbc text mort ad,335,MSN Banners
166,ggp2e,6,Google US
1868,fw hotel,5,Findwhat
1905,usatoday mort ad,459,Gannett Banners
1985,maxbusiness,363,others
2155,gotoi usedcar,2,Yahoo US
22,google premium,1,IndustryBrains
109,insp 800x100,363,others
404,fw services,5,Findwhat
594,ggp bband,6,Google US
665,inkmag,7,Inktomi US
790,ggp3,6,Google US
865,switchboard1,127,Unclassified Banner Pubs
889,lyc homeins,9,247 Real Media Banners
50083,webcode,390,Affiliates
1268,avmag,3,Altavista
1506,aj pi autoins,11,AJPI
1666,lsd mortleads,8,Looksmart
1772,gotoi,2,Yahoo US
2331,nextag_media mort ad,231,HouseAds
1829,fastrealtor,4,Fast
3148,powerone he,486,Powerone Banners
2517,pplus cpm mort ad,335,MSN Banners
2949,premiere2 mortgage,487,Premiere Banners
1956,yahoo prod uk broad,131,Yahoo UK
3027,revenueNet text ad,495,RevenueNet Banners
2015,lsibooks,8,Looksmart
2886,time.com,125,AOL Banners
2044,av nontech,3,Altavista
3084,traffic marketplace mort ad,507,Traffic Marketplace Banners
2066,fast collect,4,Fast
3470,tribal fusion cpa mort ad,510,Tribal Fusion Banners
2027,nextag mort ad,231,HouseAds
3297,tribalfusion he ad,510,Tribal Fusion Banners
3182,tribalfusion mort ad,510,Tribal Fusion Banners
3485,undertone 6.0 he,514,Undertone Banners
3484,undertone 6.0 mort,514,Undertone Banners
3153,undertone premium he ad,514,Undertone Banners
2171,kw marketplace mort ad,127,Unclassified Banner Pubs
3066,undertone premium mort ad,514,Undertone Banners
3152,undertone RON he ad,514,Undertone Banners
2975,united online webmail,313,United Online Banners
3353,valuclick cpm he ad,516,Valueclick Banners
3183,valueclick rightmedia mort ad,516,Valueclick Banners
3154,washington post he,520,Washington Post Banners
2147,aol 2810,125,AOL Banners
2950,weather desktop he ad,522,Weather.com Banners
2871,weather phone,522,Weather.com Banners
2873,weather phone2,522,Weather.com Banners
3020,whitepages text ad,528,Whitepages Banners
3369,yahoo address c2,84,Yahoo Banners
2545,ggsil cars,6,Google US
3393,yahoo address c2 text,84,Yahoo Banners
2550,comcast mort 2 ad,447,Comcast Banners
3486,yahoo address credit ad,84,Yahoo Banners
2589,yahoo address mort ad,84,Yahoo Banners
2656,ggsi nontech calibex,6,Google US
2708,goto flowers uk,131,Yahoo UK
2720,ggs jewelry uk,132,Google UK
2718,goto jewelry uk,2,Yahoo US
1954,yahoo airfare broad,2,Yahoo US
2657,gg mort copy test,6,Google US
1564,yahoo it,84,Yahoo Banners
24,altavista,3,Altavista
25,findwhat,5,Findwhat
2127,gotoc cars,2,Yahoo US
2819,ggs traveldeals,6,Google US
2770,weather driving mort ad,522,Weather.com Banners
2187,ggs it uk,132,Google UK
2303,foxnews edu ad,458,Foxnews Banners
2919,hotmail edu,335,MSN Banners
2928,cox net edu,449,Cox Banners
804,ggs calibex,6,Google US
900,lyc cloth,9,247 Real Media Banners
1028,gg mort broad,6,Google US
2073,fw carparts2,5,Findwhat
2156,gotoi hotel,2,Yahoo US
2404,ggsi cloth calibex,6,Google US
2176,fw rentalcar,5,Findwhat
